2021-01-04 09:25:02,980| ThreadPoolExecutor-0_4| INFO | File 4: starting 20201222_aocb_2020122_121720o
2021-01-04 09:25:02,981| ThreadPoolExecutor-0_4| INFO |    4 name: 20201222_aocb_2020122_121720o
2021-01-04 09:25:02,981| ThreadPoolExecutor-0_4| INFO |    4 d_file: /home/imaka/data/sim/20201222/ao/aocb_2020122_121720o.fits
2021-01-04 09:25:02,982| ThreadPoolExecutor-0_4| INFO |    4 o_dirs: /home/emcewen/out_sim/20201222/
2021-01-04 09:25:02,983| ThreadPoolExecutor-0_4| INFO |    4 t_file: /home/emcewen/data/target_input/simul_4GS_12am_6mag_USNOB_GS.txt
2021-01-04 09:25:02,984| ThreadPoolExecutor-0_4| INFO | ======== 20201222_aocb_2020122_121720o ========
2021-01-04 09:25:02,985| ThreadPoolExecutor-0_4| INFO | == sub_len = 0 
2021-01-04 09:25:02,985| ThreadPoolExecutor-0_4| INFO | == s_sub = False 
2021-01-04 09:25:02,986| ThreadPoolExecutor-0_4| INFO | == tt_sub = False 
2021-01-04 09:25:02,987| ThreadPoolExecutor-0_4| DEBUG| path found: /home/emcewen/out_sim/20201222/
2021-01-04 09:25:02,989| ThreadPoolExecutor-0_4| DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_121720o.fits
2021-01-04 09:25:03,032| ThreadPoolExecutor-0_4| DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_121720o.fits
2021-01-04 09:25:03,228| ThreadPoolExecutor-0_4| DEBUG| path found: /home/emcewen/out_sim/20201222/fits/
2021-01-04 09:25:03,229| ThreadPoolExecutor-0_4| DEBUG| fits name: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_121720o_tmax200_raw.fits
2021-01-04 09:25:03,229| ThreadPoolExecutor-0_4| DEBUG| fits not found: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_121720o_tmax200_raw.fits
2021-01-04 09:25:03,229| ThreadPoolExecutor-0_4| INFO | ====> Starting acor
2021-01-04 09:25:03,229| ThreadPoolExecutor-0_4| INFO | Generating auto corr tmax = 200
2021-01-04 09:35:42,306| ThreadPoolExecutor-0_4| INFO | == finished in 639.0760447978973 s
2021-01-04 09:35:42,307| ThreadPoolExecutor-0_4| INFO | ====> Starting ccor
2021-01-04 09:35:42,307| ThreadPoolExecutor-0_4| INFO | Generating cross corr tmax = 200
2021-01-04 09:52:36,204| ThreadPoolExecutor-0_4| INFO | == finished in 1013.8972775936127 s
2021-01-04 09:52:36,205| ThreadPoolExecutor-0_4| INFO | ====> writing fits
2021-01-04 09:52:36,206| ThreadPoolExecutor-0_4| DEBUG| path found: /home/emcewen/out_sim/20201222/fits/
2021-01-04 09:52:36,206| ThreadPoolExecutor-0_4| DEBUG| fits name: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_121720o_tmax200_raw.fits
2021-01-04 09:52:36,245| ThreadPoolExecutor-0_4| INFO | ---> saving ccor
2021-01-04 09:52:36,308| ThreadPoolExecutor-0_4| INFO | == /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_121720o_tmax200_raw.fits
2021-01-04 09:52:36,308| ThreadPoolExecutor-0_4| INFO | ====> Graphing
2021-01-04 09:52:36,467| ThreadPoolExecutor-0_4| DEBUG| path found: /home/emcewen/out_sim/20201222/plots/acor_png/
2021-01-04 09:52:36,467| ThreadPoolExecutor-0_4| DEBUG| Graphing: graph_3_rows_t_mat
2021-01-04 09:52:36,993| ThreadPoolExecutor-0_4| INFO | /home/emcewen/out_sim/20201222/plots/acor_png/20201222_aocb_2020122_121720o_raw_acor_avg_0.png
