2021-01-04 09:25:02,983| ThreadPoolExecutor-0_1| INFO | ======== 20201222_aocb_2020122_043832o ========
2021-01-04 09:25:02,983| ThreadPoolExecutor-0_0| INFO | == sub_len = 0 
2021-01-04 09:25:02,983| ThreadPoolExecutor-0_3| INFO | ======== 20201222_aocb_2020122_101126o ========
2021-01-04 09:25:02,984| ThreadPoolExecutor-0_2| INFO | ======== 20201222_aocb_2020122_074836o ========
2021-01-04 09:25:02,984| ThreadPoolExecutor-0_4| INFO | ======== 20201222_aocb_2020122_121720o ========
2021-01-04 09:25:02,984| ThreadPoolExecutor-0_1| INFO | == sub_len = 0 
2021-01-04 09:25:02,984| ThreadPoolExecutor-0_0| INFO | == s_sub = False 
2021-01-04 09:25:02,984| ThreadPoolExecutor-0_3| INFO | == sub_len = 0 
2021-01-04 09:25:02,984| ThreadPoolExecutor-0_2| INFO | == sub_len = 0 
2021-01-04 09:25:02,985| ThreadPoolExecutor-0_4| INFO | == sub_len = 0 
2021-01-04 09:25:02,985| ThreadPoolExecutor-0_1| INFO | == s_sub = False 
2021-01-04 09:25:02,985| ThreadPoolExecutor-0_0| INFO | == tt_sub = False 
2021-01-04 09:25:02,985| ThreadPoolExecutor-0_3| INFO | == s_sub = False 
2021-01-04 09:25:02,985| ThreadPoolExecutor-0_2| INFO | == s_sub = False 
2021-01-04 09:25:02,985| ThreadPoolExecutor-0_4| INFO | == s_sub = False 
2021-01-04 09:25:02,985| ThreadPoolExecutor-0_1| INFO | == tt_sub = False 
2021-01-04 09:25:02,986| ThreadPoolExecutor-0_0| DEBUG| path found: /home/emcewen/out_sim/20201222/
2021-01-04 09:25:02,986| ThreadPoolExecutor-0_3| INFO | == tt_sub = False 
2021-01-04 09:25:02,986| ThreadPoolExecutor-0_2| INFO | == tt_sub = False 
2021-01-04 09:25:02,986| ThreadPoolExecutor-0_4| INFO | == tt_sub = False 
2021-01-04 09:25:02,986| ThreadPoolExecutor-0_1| DEBUG| path found: /home/emcewen/out_sim/20201222/
2021-01-04 09:25:02,986| ThreadPoolExecutor-0_0| DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_012857o.fits
2021-01-04 09:25:02,987| ThreadPoolExecutor-0_3| DEBUG| path found: /home/emcewen/out_sim/20201222/
2021-01-04 09:25:02,987| ThreadPoolExecutor-0_2| DEBUG| path found: /home/emcewen/out_sim/20201222/
2021-01-04 09:25:02,987| ThreadPoolExecutor-0_4| DEBUG| path found: /home/emcewen/out_sim/20201222/
2021-01-04 09:25:02,987| ThreadPoolExecutor-0_1| DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_043832o.fits
2021-01-04 09:25:02,989| ThreadPoolExecutor-0_3| DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_101126o.fits
2021-01-04 09:25:02,989| ThreadPoolExecutor-0_2| DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_074836o.fits
2021-01-04 09:25:02,989| ThreadPoolExecutor-0_4| DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_121720o.fits
2021-01-04 09:25:02,993| ThreadPoolExecutor-0_0| DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_012857o.fits
2021-01-04 09:25:03,005| ThreadPoolExecutor-0_0| DEBUG| path found: /home/emcewen/out_sim/20201222/fits/
2021-01-04 09:25:03,005| ThreadPoolExecutor-0_0| DEBUG| fits name: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_012857o_tmax200_raw.fits
2021-01-04 09:25:03,005| ThreadPoolExecutor-0_0| DEBUG| fits not found: /home/emcewen/out_sim/20201222/fits/20201222_aocb_2020122_012857o_tmax200_raw.fits
2021-01-04 09:25:03,006| ThreadPoolExecutor-0_0| INFO | ====> Starting acor
2021-01-04 09:25:03,006| ThreadPoolExecutor-0_0| INFO | Generating auto corr tmax = 200
2021-01-04 09:25:03,019| ThreadPoolExecutor-0_3| DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_101126o.fits
2021-01-04 09:25:03,023| ThreadPoolExecutor-0_2| DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_074836o.fits
2021-01-04 09:25:03,028| ThreadPoolExecutor-0_1| DEBUG| datacheckfile: /home/imaka/data/sim/20201222/ao/aocb_2020122_043832o.fits
